ID,LABEL,Type,SubClass Of,SubProperty Of
BFO:0000050,part of,Object property,,
GO:0005575,cellular_component,Class,,
GO:0005622,intracellular,Class,cell part,
GO:0005623,cell,Class,cellular_component,
GO:0005634,nucleus,Class,intracellular membrane-bounded organelle,
GO:0031974,membrane-enclosed lumen,Class,cellular_component,
GO:0031981,nuclear lumen,Class,'part of' some nucleus|intracellular organelle lumen|nuclear part,
GO:0043226,organelle,Class,cellular_component,
GO:0043227,membrane-bounded organelle,Class,organelle,
GO:0043229,intracellular organelle,Class,'part of' some intracellular|intracellular part|organelle,
GO:0043231,intracellular membrane-bounded organelle,Class,intracellular organelle|membrane-bounded organelle,
GO:0043233,organelle lumen,Class,'part of' some organelle|membrane-enclosed lumen|organelle part,
GO:0044422,organelle part,Class,'part of' some organelle|cellular_component,
GO:0044424,intracellular part,Class,'part of' some intracellular|cell part,
GO:0044428,nuclear part,Class,'part of' some nucleus|intracellular organelle part,
GO:0044446,intracellular organelle part,Class,'part of' some 'intracellular organelle'|'part of' some intracellular|'part of' some organelle|intracellular part|organelle part,
GO:0044464,cell part,Class,'part of' some cell|cellular_component,
GO:0070013,intracellular organelle lumen,Class,'part of' some 'intracellular organelle'|intracellular organelle part|organelle lumen,
rdfs:label,,Annotation property,,
