table,cell,rule,message
immune_exposures,D7,is-required,"Cell is empty but rule: ""is-required true"" does not allow this."
immune_exposures,F8,is-required,"Cell is empty but rule: ""is-required true"" does not allow this."
immune_exposures,B9,equivalent-to,"Validation failed for rule: ""Dengue virus equivalent-to (NCBITaxon:11060)""."
immune_exposures,C9,equivalent-to,"Validation failed for rule: ""NCBITaxon:11060 equivalent-to 'Dengue virus'""."
immune_exposures,D10,subclass-of,"Validation failed for rule: ""Dengue virus 2 subclass-of disease""."
immune_exposures,D10,subclass-of,"Validation failed for rule: ""Dengue virus 2 subclass-of 'has material basis in' some 'Dengue virus'""."
immune_exposures,B11,equivalent-to,"Validation failed for rule: ""blood or 'Hepacivirus C' equivalent-to (UBERON:0000178)""."
immune_exposures,C11,equivalent-to,"Validation failed for rule: ""UBERON:0000178 equivalent-to (blood or 'Hepacivirus C')""."
immune_exposures,F11,is-excluded,"Cell is non-empty (""Chronic"") but rule: ""is-excluded true"" does not allow this."
immune_exposures,D12,equivalent-to,"Validation failed for rule: ""wheat allergy equivalent-to (DOID:12206)""."
immune_exposures,D12,equivalent-to,"Validation failed for rule: ""dengue hemorrhagic fever equivalent-to (DOID:3660)""."
immune_exposures,D12,subclass-of,"Validation failed for rule: ""wheat allergy subclass-of 'has material basis in' some 'Dengue virus'""."
immune_exposures,E12,equivalent-to,"Validation failed for rule: ""DOID:3660 equivalent-to 'dengue hemorrhagic fever'""."
immune_exposures,E12,equivalent-to,"Validation failed for rule: ""DOID:12206 equivalent-to 'wheat allergy'""."
